Участок,Профиль,n_obs,year_first,year_last,duration_years,ycol_used,mean_IPN,std_IPN,retreat_m_per_year
Бережновка,ПРОФИЛЬ № 60,24,1958,2023,65,ИПН_м,108.17458333333333,63.3253679492334,3.1762196107030967
Бережновка,ПРОФИЛЬ № 61,24,1958,2023,65,ИПН_м,91.36208333333333,77.39604893741792,3.870345169792296
Бережновка,ПРОФИЛЬ № 62,24,1958,2023,65,ИПН_м,226.79479225147304,99.58671727287211,4.84992289995087
Бурты,ПРОФИЛЬ № 1,25,1987,2023,36,ИПН_м,61.444399999999995,9.176637038334542,0.9842969052224892
Бурты,ПРОФИЛЬ № 2,25,1987,2023,36,ИПН_м,51.8284,11.180792190180442,1.1923288201161149
Бурты,ПРОФИЛЬ № 3,25,1987,2023,36,ИПН_м,50.05916666666667,9.234373365273651,0.9132581895033265
Молчановка,ПРОФИЛЬ № 57,24,1958,2022,64,ИПН_м,74.34833333333334,23.329407951388713,1.0402954815798122
Молчановка,ПРОФИЛЬ № 58,24,1958,2022,64,ИПН_м,82.44125,31.827042140498122,1.5116202354888277
Молчановка,ПРОФИЛЬ № 59,24,1958,2022,64,ИПН_м,108.52913043478262,33.145400327132116,1.5269217123721552
Нижний Балыклей,ПРОФИЛЬ № 52,25,1958,2024,66,ИПН_м,93.88904761904762,79.62388083387809,4.123619584837538
Нижний Балыклей,ПРОФИЛЬ № 53,25,1958,2024,66,ИПН_м,106.42173913043477,79.39088519082905,3.837624718847357
Нижний Балыклей,ПРОФИЛЬ № 54,25,1958,2024,66,ИПН_м,175.28458333333333,77.23723099640972,3.829240027556754
Нижний Ураков,ПРОФИЛЬ № 1,24,1987,2022,35,ИПН_м,48.895,10.33606204371029,1.0189223191107182
Нижний Ураков,ПРОФИЛЬ № 2,24,1987,2022,35,ИПН_м,16.188636363636366,6.484789011844451,0.6723169300676732
Нижний Ураков,ПРОФИЛЬ № 3,24,1987,2022,35,ИПН_м,23.519523809523808,3.9325926259790456,0.3784362774428297
Нижний Ураков,ПРОФИЛЬ № 4,24,1987,2022,35,ИПН_м,22.681904761904764,8.915178416076495,1.0590164397093125
Новоникольское,ПРОФИЛЬ № 49,21,1959,2024,65,ИПН_м,237.67470588235295,121.36230243148235,5.271721841332043
Новоникольское,ПРОФИЛЬ № 50,21,1959,2024,65,ИПН_м,164.77684210526314,92.14379083515983,4.184421713139999
Новоникольское,ПРОФИЛЬ № 51,21,1959,2024,65,ИПН_м,139.98250000000002,112.0004909704934,4.988444531148404
Пичуга-Южный,ПРОФИЛЬ № 4,18,1977,2024,47,ИПН_м,28.6,4.055015002027324,0.2654340880133309
Пичуга-Южный,ПРОФИЛЬ № 5,18,1977,2024,47,ИПН_м,18.72125,4.131866204674751,0.2579964221824709
Пичуга-Южный,ПРОФИЛЬ № 6,18,1977,2024,47,ИПН_м,24.763333333333335,4.940136791137622,0.2786941305869406
Пролейский,ПРОФИЛЬ № 1,25,1987,2023,36,ИПН_м,48.024736842105256,5.125467315736036,0.39244542146755557
Пролейский,ПРОФИЛЬ № 2,25,1987,2023,36,ИПН_м,27.466000000000005,12.589964588247788,1.1068351902812301
Пролейский,ПРОФИЛЬ № 3,25,1987,2023,36,ИПН_м,30.352083333333336,13.31716642375438,1.1863241976711372
Суводская,ПРОФИЛЬ № 2,5,2009,2025,16,ИПН_м,30.315,2.395627962212275,0.32242703533026146
Суводская,ПРОФИЛЬ № 3,5,2009,2025,16,ИПН_м,12.213999999999999,2.9816069492808728,0.4328679653679692
Суводская,ПРОФИЛЬ № 4,5,2009,2025,16,ИПН_м,0.89,0.452621990922521,0.23813953488372386
Суводская,ПРОФИЛЬ № 5,4,2009,2025,16,ИПН_м,1.23,0.1272792206135787,0.18000000000011152
Суводская,ПРОФИЛЬ МЕЖДУ ОВРАГОМ И БРОВКОЙ ВДХР,4,2009,2025,16,ИПН_м,20.97,0.042426406871191945,0.06000000000003814
Ураков Бугор ,ПРОФИЛЬ № 1,25,1987,2023,36,ИПН_м,66.44909090909091,1.2140875825115145,0.10210783117833562
Ураков Бугор ,ПРОФИЛЬ № 2,25,1987,2023,36,ИПН_м,58.833333333333336,0.4066262750194975,0.03933203277409105
Ураков Бугор ,ПРОФИЛЬ № 3,25,1987,2023,36,ИПН_м,55.37698411905447,0.4897063495658307,0.03480987486141373
