Участок,Профиль,n_obs,year_first,year_last,ycol_used,slope_m_per_year,retreat_m_per_year,mean_y,std_y
Бережновка,Бережновка__Профиль_1,24,1958,2023,ИПН_м,-3.1762196107030967,3.1762196107030967,108.17458333333333,63.3253679492334
Бурты,Бурты__Профиль_1,25,1987,2023,ИПН_м,-0.9842969052224892,0.9842969052224892,61.444399999999995,9.176637038334542
Молчановка,Молчановка__Профиль_1,24,1958,2022,ИПН_м,-1.0402954815798122,1.0402954815798122,74.34833333333334,23.329407951388713
Нижний Балыклей,Нижний Балыклей__Профиль_1,25,1958,2024,ИПН_м,-4.123619584837538,4.123619584837538,93.88904761904762,79.62388083387809
Нижний Ураков,Нижний Ураков__Профиль_1,24,1987,2022,ИПН_м,-1.0189223191107182,1.0189223191107182,48.895,10.33606204371029
Новоникольское,Новоникольское__Профиль_1,21,1959,2024,ИПН_м,-5.271721841332043,5.271721841332043,237.67470588235295,121.36230243148235
Пичуга-Южный,Пичуга-Южный__Профиль_1,18,1977,2024,ИПН_м,-0.2654340880133309,0.2654340880133309,28.6,4.055015002027324
Пролейский,Пролейский__Профиль_1,25,1987,2023,ИПН_м,-0.39244542146755557,0.39244542146755557,48.024736842105256,5.125467315736036
Суводская,Суводская__Профиль_1,5,2009,2025,ИПН_м,-0.32242703533026146,0.32242703533026146,30.315,2.395627962212275
Ураков Бугор ,Ураков Бугор __Профиль_1,25,1987,2023,ИПН_м,-0.10210783117833562,0.10210783117833562,66.44909090909091,1.2140875825115145
