summary_level,site_id,site_name,history_start_group,n_intervals,first_interval_start,last_interval_end,median_days_between,mean_years_between,mean_retreat_m,median_retreat_m,mean_retreat_rate_m_per_year,median_retreat_rate_m_per_year,std_retreat_rate_m_per_year,mean_retreat_abs_m,mean_retreat_rate_abs_m_per_year,n_duplicate_context_intervals,profile_id,profile_num,profile_name
profile,berezhnovka,Бережновка,ранний блок (до 1986; в данных старт 1958-1977),23,1958-10-01,2023-10-03,1024.0,2.826295271255543,-9.884782608695652,-9.269999999999982,-3.0316122334935174,-3.0943551344743274,3.468444205118357,10.554347826086957,3.6927877003310754,0,berezhnovka_profile_60,60.0,ПРОФИЛЬ № 60
profile,berezhnovka,Бережновка,ранний блок (до 1986; в данных старт 1958-1977),23,1958-10-01,2023-10-03,1024.0,2.826295271255543,-10.716956521739132,-7.270000000000007,-3.71177178269864,-3.371538461538468,2.6178289365352017,10.716956521739132,3.71177178269864,0,berezhnovka_profile_61,61.0,ПРОФИЛЬ № 61
profile,berezhnovka,Бережновка,ранний блок (до 1986; в данных старт 1958-1977),22,1958-10-01,2023-10-03,1037.5,2.954763238130795,-14.088173440290836,-12.352067202596643,-2.4362139908998404,-4.176706551497525,13.63349584877051,19.066558096666732,7.3908597558624995,0,berezhnovka_profile_62,62.0,ПРОФИЛЬ № 62
profile,burty,Бурты,поздний блок (с 1986/1987),24,1987-06-30,2023-08-15,370.0,1.5052475473420033,-1.434166666666667,-0.8499999999999943,-1.0701891793885787,-0.7243441011235927,1.2174613000146444,1.4441666666666675,1.0856005717936426,0,burty_profile_1,1.0,ПРОФИЛЬ № 1
profile,burty,Бурты,поздний блок (с 1986/1987),24,1987-06-30,2023-08-15,370.0,1.5052475473420033,-1.723333333333333,-1.0249999999999986,-1.1824458813290637,-1.011700528548341,1.1568060536598832,1.746666666666666,1.311574669207849,0,burty_profile_2,2.0,ПРОФИЛЬ № 2
profile,burty,Бурты,поздний блок (с 1986/1987),23,1987-06-30,2023-08-15,370.0,1.570693092878612,-1.4391304347826088,-0.3599999999999994,-0.7787684958308263,-0.3632320441988944,0.8697242036859624,1.459130434782609,0.8181703761006208,0,burty_profile_3,3.0,ПРОФИЛЬ № 3
profile,molchanovka,Молчановка,ранний блок (до 1986; в данных старт 1958-1977),23,1958-09-30,2022-08-03,753.0,2.7757045501889714,-3.7913043478260877,-1.9300000000000068,-0.9705293286134871,-0.6595227858985364,1.5331416977597254,3.955652173913045,1.3026893694039428,0,molchanovka_profile_57,57.0,ПРОФИЛЬ № 57
profile,molchanovka,Молчановка,ранний блок (до 1986; в данных старт 1958-1977),23,1958-09-30,2022-08-03,753.0,2.7757045501889714,-4.88391304347826,-3.1500000000000057,-1.531541537882123,-1.19501017532874,1.184655207883276,4.884782608695652,1.5343033526269259,0,molchanovka_profile_58,58.0,ПРОФИЛЬ № 58
profile,molchanovka,Молчановка,ранний блок (до 1986; в данных старт 1958-1977),22,1958-09-30,2022-08-03,804.5,2.901872938833925,-5.0,-2.020000000000003,-1.3315254791140507,-1.125671127296123,1.2408342683030706,5.0,1.3315254791140507,0,molchanovka_profile_59,59.0,ПРОФИЛЬ № 59
profile,nizhniy_balykley,Нижний Балыклей,ранний блок (до 1986; в данных старт 1958-1977),20,1958-09-28,2016-05-26,886.5,2.882956878850103,-11.741000000000001,-8.780000000000005,-3.9611162709657726,-3.7363594294760945,2.526369183917049,11.741000000000001,3.9611162709657726,0,nizhniy_balykley_profile_52,52.0,ПРОФИЛЬ № 52
profile,nizhniy_balykley,Нижний Балыклей,ранний блок (до 1986; в данных старт 1958-1977),22,1958-09-28,2024-07-16,886.5,2.990853089415718,-11.308636363636364,-11.925000000000002,-4.020918014257757,-3.84258217685191,3.850212305927413,12.10590909090909,4.418737500099783,0,nizhniy_balykley_profile_53,53.0,ПРОФИЛЬ № 53
profile,nizhniy_balykley,Нижний Балыклей,ранний блок (до 1986; в данных старт 1958-1977),23,1958-09-28,2024-07-16,755.0,2.860815998571556,-10.953043478260872,-8.199999999999989,-3.292366450016538,-3.386978580700992,1.801951909694566,11.001739130434785,3.526393909970772,0,nizhniy_balykley_profile_54,54.0,ПРОФИЛЬ № 54
profile,nizhniy_urakov,Нижний Ураков,поздний блок (с 1986/1987),21,1987-06-28,2022-08-02,400.0,1.6712623447736383,-1.7166666666666666,-0.70000000000001,-0.8436648424448178,-0.6966621253406095,0.8187165560517249,1.7357142857142858,0.915900795753099,0,nizhniy_urakov_profile_1,1.0,ПРОФИЛЬ № 1
profile,nizhniy_urakov,Нижний Ураков,поздний блок (с 1986/1987),21,1987-06-28,2020-09-16,395.0,1.5819562595743295,-1.0052380952380955,-0.4900000000000002,-0.6475524884083473,-0.4876634877384198,0.6146035723959743,1.0223809523809524,0.6643391601816143,0,nizhniy_urakov_profile_2,2.0,ПРОФИЛЬ № 2
profile,nizhniy_urakov,Нижний Ураков,поздний блок (с 1986/1987),20,1987-06-28,2022-08-02,673.5,1.7548254620123203,-0.608,-0.33000000000000007,-0.33198081473901303,-0.2912351407716415,0.32715629425811726,0.6319999999999999,0.34637028196697606,0,nizhniy_urakov_profile_3,3.0,ПРОФИЛЬ № 3
profile,nizhniy_urakov,Нижний Ураков,поздний блок (с 1986/1987),20,1993-05-27,2022-08-02,384.0,1.4591375770020534,-1.7100000000000002,-1.0100000000000007,-1.0577852517802966,-0.9236584679013804,1.0028737460691892,1.714,1.079270545897943,0,nizhniy_urakov_profile_4,4.0,ПРОФИЛЬ № 4
profile,novonikolskoe,Новоникольское,ранний блок (до 1986; в данных старт 1958-1977),17,1959-12-11,2025-10-01,1459.0,3.870998912912188,-21.381176470588237,-21.09999999999997,-7.1670347336253215,-4.581892912470951,10.411519159753306,21.381176470588237,7.1670347336253215,0,novonikolskoe_profile_49,49.0,ПРОФИЛЬ № 49
profile,novonikolskoe,Новоникольское,ранний блок (до 1986; в данных старт 1958-1977),19,1959-12-11,2025-10-01,1071.0,3.4635253431319573,-16.81,-13.929999999999978,-7.079677071612541,-4.225783695652171,13.632300261643683,16.81,7.079677071612541,0,novonikolskoe_profile_50,50.0,ПРОФИЛЬ № 50
profile,novonikolskoe,Новоникольское,ранний блок (до 1986; в данных старт 1958-1977),20,1959-12-11,2025-10-01,1184.5,3.2903490759753593,-19.1575,-15.74499999999999,-7.947397741004761,-4.5205053758461595,15.432986023986908,19.1575,7.947397741004761,0,novonikolskoe_profile_51,51.0,ПРОФИЛЬ № 51
profile,pichuga_yuzhny,Пичуга-Южный,ранний блок (до 1986; в данных старт 1958-1977),15,1977-12-01,2024-07-12,794.0,3.107460643394935,-0.8339999999999999,-0.3399999999999998,-0.2768903053224703,-0.2174770992366415,0.4332411429781856,0.8793333333333336,0.3200031562396694,0,pichuga_yuzhny_profile_4,4.0,ПРОФИЛЬ № 4
profile,pichuga_yuzhny,Пичуга-Южный,ранний блок (до 1986; в данных старт 1958-1977),14,1977-12-01,2024-07-12,790.5,3.3294221179231447,-0.8435714285714285,-0.27499999999999947,-0.2130048401363971,-0.11859387274155575,0.22233620852349553,0.8549999999999999,0.22147611695118527,0,pichuga_yuzhny_profile_5,5.0,ПРОФИЛЬ № 5
profile,pichuga_yuzhny,Пичуга-Южный,ранний блок (до 1986; в данных старт 1958-1977),11,1977-12-01,2024-07-12,1118.0,4.237446331902184,-1.242727272727273,-0.9899999999999984,-0.1910983788069271,-0.3089179104477599,0.8114594554849713,1.6772727272727275,0.5610697710510465,0,pichuga_yuzhny_profile_6,6.0,ПРОФИЛЬ № 6
profile,proleyskiy,Пролейский,поздний блок (с 1986/1987),18,1987-07-01,2019-10-10,578.0,1.7931401627500192,-0.6066666666666668,-0.0350000000000001,0.13957241264618372,-0.033573422432747455,5.85480007825133,2.4466666666666654,2.251504324754157,0,proleyskiy_profile_1,1.0,ПРОФИЛЬ № 1
profile,proleyskiy,Пролейский,поздний блок (с 1986/1987),24,1987-07-01,2023-08-14,402.5,1.5050193931097422,-1.7774999999999999,-0.45500000000000185,-1.2156183965707696,-0.3589678893509006,1.679388088175373,1.8133333333333328,1.247905136178345,0,proleyskiy_profile_2,2.0,ПРОФИЛЬ № 2
profile,proleyskiy,Пролейский,поздний блок (с 1986/1987),23,1987-07-01,2023-08-14,430.0,1.5704550188971225,-1.9282608695652175,-0.2199999999999988,-1.9417396444825898,-0.2528653846153842,4.913384841029132,1.95695652173913,1.959684967363739,0,proleyskiy_profile_3,3.0,ПРОФИЛЬ № 3
profile,urakov_bugor,Ураков Бугор,поздний блок (с 1986/1987),21,1987-06-27,2023-10-04,369.0,1.7271927251393373,-0.22238095238095246,-0.0100000000000051,0.001212585850560332,-0.01008977900553,0.27645525579762226,0.272857142857143,0.15426709519912774,21,urakov_bugor_profile_1,1.0,ПРОФИЛЬ № 1
profile,urakov_bugor,Ураков Бугор,поздний блок (с 1986/1987),23,1987-06-27,2023-10-04,369.0,1.5770020533880906,-0.06782608695652184,-0.019999999999996,-0.0760616218391195,-0.0183542713567867,0.21221694010592604,0.0947826086956512,0.1131629989439957,23,urakov_bugor_profile_2,2.0,ПРОФИЛЬ № 2
profile,urakov_bugor,Ураков Бугор,поздний блок (с 1986/1987),16,1987-06-27,2023-10-04,423.0,2.26694045174538,-0.1100000000000003,-0.07499999999999925,-0.013932301175604834,-0.0530142642642638,0.3101255556402162,0.2705952440424894,0.18721586612005545,16,urakov_bugor_profile_3,3.0,ПРОФИЛЬ № 3
site,berezhnovka,Бережновка,ранний блок (до 1986; в данных старт 1958-1977),68,1958-10-01,2023-10-03,1024.0,2.8678584370093008,-11.526173760094094,-8.709999999999992,-3.069037355473766,-3.3568937481437544,8.045661902845596,13.36329820774512,4.895643863803801,0,,,
site,burty,Бурты,поздний блок (с 1986/1987),71,1987-06-30,2023-08-15,370.0,1.5264482170228766,-1.5335211267605633,-0.8799999999999955,-1.013731223399048,-0.8418273753527713,1.0924425426574051,1.5512676056338028,1.0753538652725363,0,,,
site,molchanovka,Молчановка,ранний блок (до 1986; в данных старт 1958-1977),68,1958-09-30,2022-08-03,774.0,2.816523734750574,-4.551911764705882,-2.230000000000004,-1.2770763304398256,-1.0809425675675663,1.3306682265839138,4.607794117647059,1.390358722753222,0,,,
site,nizhniy_balykley,Нижний Балыклей,ранний блок (до 1986; в данных старт 1958-1977),65,1958-09-28,2024-07-16,755.0,2.911641130942979,-11.315846153846156,-9.160000000000004,-3.7447223089748687,-3.5878876170655576,2.8265785414210174,11.602923076923078,3.9621786207821295,0,,,
site,nizhniy_urakov,Нижний Ураков,поздний блок (с 1986/1987),82,1987-06-28,2022-08-02,400.0,1.6170347740438389,-1.2624390243902441,-0.5549999999999979,-0.720864454613447,-0.5326151950612141,0.7684207646501259,1.2785365853658537,0.7524128735600898,0,,,
site,novonikolskoe,Новоникольское,ранний блок (до 1986; в данных старт 1958-1977),56,1959-12-11,2025-10-01,1120.0,3.5253740099735995,-19.03607142857143,-14.975000000000025,-7.416096600935071,-4.447265680862845,13.22100486108062,19.03607142857143,7.416096600935071,0,,,
site,pichuga_yuzhny,Пичуга-Южный,ранний блок (до 1986; в данных старт 1958-1977),40,1977-12-01,2024-07-12,840.0,3.4958932238193023,-0.9497499999999999,-0.36999999999999916,-0.23093761271557028,-0.19088246147656684,0.5040529254811332,1.0902500000000002,0.3518120115618287,0,,,
site,proleyskiy,Пролейский,поздний блок (с 1986/1987),65,1987-07-01,2023-08-14,430.0,1.6079608276733535,-1.5066153846153845,-0.2199999999999988,-1.0972699986641035,-0.1739285714285705,4.371408175550149,2.039538461538461,1.7776854671264788,0,,,
site,urakov_bugor,Ураков Бугор,поздний блок (с 1986/1987),60,1987-06-27,2023-10-04,383.5,1.813552361396304,-0.1331666666666668,-0.01999999999999955,-0.03244783030412765,-0.02647118338596665,0.2615157629978293,0.20399206507799686,0.14729686388024116,60,,,
